# source_id	url	description
pb-5	https://blog.pinboard.in/2014/07/pinboard_turns_five/	Pinboard Blog — "Pinboard Turns Five", 9 July 2014, consulted 2026-08-02. Maciej Ceglowski's fifth-anniversary post: the annual statistics table, revenue flat at around $200K a year, active user count steady, and his account of stability as the product a bookmarking service sells. First-party and contemporaneous.
pb-7	https://blog.pinboard.in/2016/07/pinboard_turns_seven/	Pinboard Blog — "Pinboard Turns Seven", 8 July 2016, consulted 2026-08-02. The year revenue was added to the published table: 2010-2016 revenue and funding rows, running costs of about $17K a year, and his stated reason for publishing (to encourage one- or zero-person businesses). Also supplies the annual-subscription confounder for the 2015 dip and 2016 rise.
pb-8	https://blog.pinboard.in/2017/07/eight_years_of_victory/	Pinboard Blog — "Eight Years of Victory", 9 July 2017, consulted 2026-08-02. Revenue through 2017 ($259K, the peak) and active users at 29K, alongside his own account of a year of travel in which support email went unanswered for weeks and a "reverse sabbatical" to stabilise the site.
pb-11	https://blog.pinboard.in/2020/07/pinboard_is_eleven/	Pinboard Blog — "Pinboard is Eleven", 9 July 2020, consulted 2026-08-02. The eleven-year table: revenue 2010-2020 ending at $212K, active users at 19K, and funding at zero in every year. The single source that carries both halves of ch. 16 — enough reached, and enough left undefended.
# ch18 — Gymdesk / Galperin, second post. Recurring cast, new source, new inference (§6i).
galperin-2023-fire	https://erangalperin.com/2023/06/30/how-to-fire-yourself-as-a-founder/	Eran Galperin — "How to fire yourself as a founder", published 2023-06-29/30 (dateModified 2023-10-02), consulted 2026-08-06. Founder's own contemporaneous account of building a written knowledge base — an internal handbook, per-department SOPs, a customer-service knowledge base populated by the reps themselves, and recorded engineering walkthroughs — after discovering that hiring alone did not remove him from day-to-day operation. Founder's own account: weaker evidence class per §5, attributed as such in the prose.
# ch19 — Gymdesk / Galperin, third post (the ch. 18 predecessor named but not fetched). The first-hire decision. bw7-2026 already exists (registered at ch. 05 for the non-compete box) and is reused here for different articles.
galperin-2023-covid	https://erangalperin.com/2023/05/12/building-a-fitness-tech-company-during-covid/	Eran Galperin — "Building A Fitness Tech Company During COVID", published 2023-05-12 (dateModified 2023-10-02), consulted 2026-08-06. Founder's own contemporaneous-retrospective account: the first full-time hire (content marketing/editor, June 2021) made after outside agencies failed, a second first-time hire for customer service after Upwork contractors were not working out, the framing of that decision as the shift from a one-man business to a company, and the end-2022 headcount split of 8 employees and 4 contractors. Founder's own account: weaker evidence class per §5, attributed as such in the prose. This is the "From business to company" predecessor the ch. 18 entry (§6i) named as linked in-text and left unfetched; the live page's title is "Building A Fitness Tech Company During COVID", not the linked anchor text.
# ch20 — Groove / Alex Turnbull, new company for the recurring cast. Case hunt in §6i.
groove-fire-2015	http://web.archive.org/web/20150316193110/https://www.groovehq.com/blog/how-to-fire-an-employee	Alex Turnbull / Groove — "Firing: How I Do the Hardest Thing as an Entrepreneur", published 2015-01-29, archived 2015-03-16, consulted 2026-08-06. Founder's own contemporaneous account, three years into Groove: the 2-4 week paid trial run before any permanent offer, direct feedback given often and logged (not saved for a end-of-trial review) during that trial, team and candidate input built into the decision, and the headcount-turnover figure from Groove's first three years. Founder's own account: weaker evidence class per §5, attributed as such in the prose.
# ch21 — Groove / Alex Turnbull, second use, different article and inference. Case hunt in §6i.
groove-meetings-2016	http://web.archive.org/web/20160305122806/https://www.groovehq.com/blog/how-to-optimize-remote-team-meetings	Alex Turnbull / Groove — "How We've Optimized Remote Team Meetings For Ultimate Efficiency", published 2016-02-18, archived 2016-03-05 (the capture closest to publication, chosen over a later 2018 capture because the later one silently redacted a named coach to "our coach" — the article text is otherwise identical), consulted 2026-08-06. Founder's own contemporaneous account of Groove's meeting rhythm: four earlier formats tried and abandoned or kept (no scheduled meetings, a weekly Monday call, an all-culture Friday call, an unstructured daily standup), the "9-person 45-minute" meetings that resulted, a video of 1-800-Got-Junk's own daily standup (nearly 20 people, under 7 minutes) that reset Turnbull's expectations, and the fixed, timeboxed, owned agenda structure adopted afterward. Founder's own account: weaker evidence class per §5, attributed as such in the prose. The 1-800-Got-Junk figures are Turnbull's secondhand relay of a video his business coach showed him, not sourced to 1-800-Got-Junk directly — flagged so the eventual draft attributes them two layers deep, not as this book's own verification of another company's meeting length.
# ch22 — ConvertKit / Nathan Barry, second use of the ch. 08 company, new source and new inference. Case hunt in §6i.
nb-metrics-2019	https://nathanbarry.com/metrics/	Nathan Barry — "Understanding ConvertKit's open metrics", published 2019-01-14, dateModified 2019-02-27, consulted 2026-08-06. Founder's own contemporaneous walkthrough of ConvertKit's public Baremetrics dashboard shortly after crossing $1m MRR: the five components of MRR movement, the MRR-versus-net-revenue distinction, user churn versus revenue versus net revenue churn, the quick ratio, ARPU against Buffer's, and the revenue concentration among higher-paying customers. Founder's own account: weaker evidence class per §5, attributed as such in the prose. Not an audited or independently verified figure set — the underlying numbers come from ConvertKit's own Baremetrics instance, which the post itself says is open to public view but which this book has not independently queried.
# ch23 — WP Curve / Dan Norris, third use of the ch. 10/ch. 14 company, new (June 2014) monthly report and new inference. Case hunt in §6i.
wpc-jun-2014	http://web.archive.org/web/20140727204812/http://wpcurve.com/june-wp-curve-monthly-report-people-product-and-process/	Dan Norris & Alex McClafferty / WP Curve — "People, Product and Process — June monthly report", published 2014-07-01, archived 2014-07-27 (the capture closest to publication; two later captures, 2014-08-06 and 2016-03-11, carry different content digests per a live CDX query and were not diffed inside this task's time box — flagged for whoever drafts ch. 23 to check what changed before quoting further), consulted 2026-08-06. Founder's own contemporaneous account, one year into the company: the team grown to 15 people (mostly Philippines-based developers) against $23,535 MRR, hiring running about every two weeks ahead of being fully booked, the first staff member hired by someone other than either founder, a 20-page onboarding process now owned by a team admin rather than either founder, and a list of founder tasks (hiring logistics, affiliate approval, social images, bookkeeping) newly delegated away. Founder's own account: weaker evidence class per §5, attributed as such in the prose. Archive-cited, same footing as `wpc-jul-2013`/`wpc-oct-2013`/`wpc-nov-2013`/`wpc-dec-2013` — wpcurve.com is a dead, redirecting domain today (checked live during this task, 2026-08-06: the current site immediately redirects to `/lander`), consistent with the ch. 10 sources.tsv note that the company was acquired in 2016. This task did not independently source the acquisition; it is carried here as existing, unverified context, not registered as a claim.
